date,daily_electricity
2016-04-25,1407600.0
2016-04-26,1482273.0
2016-04-27,1474906.0
2016-04-28,1422594.0
2016-04-29,1438552.0
2016-04-30,1280073.0
2016-05-01,1256278.0
2016-05-02,1371790.0
2016-05-03,1375559.0
2016-05-04,1396397.0
2016-05-05,1271635.0
2016-05-06,1288138.0
2016-05-07,1188572.0
2016-05-08,1074278.0
2016-05-09,1259233.0
2016-05-10,1335105.0
2016-05-11,1348436.0
2016-05-12,1349415.0
2016-05-13,1368227.0
2016-05-14,1181016.0
2016-05-15,1058019.0
2016-05-16,1190372.0
2016-05-17,1295140.0
2016-05-18,1349447.0
2016-05-19,1387834.0
2016-05-20,1334534.0
2016-05-21,1220384.0
2016-05-22,1095154.0
2016-05-23,1360425.0
2016-05-24,1319610.0
2016-05-25,1347384.0
2016-05-26,1270316.0
2016-05-27,1332993.0
2016-05-28,1212920.0
2016-05-29,1176175.0
2016-05-30,1340994.0
2016-05-31,1391783.0
2016-06-01,1354772.0
2016-06-02,1340991.0
2016-06-03,1368908.0
2016-06-04,1235531.0
2016-06-05,1173592.0
2016-06-06,1359195.0
2016-06-07,1395766.0
2016-06-08,1368776.0
2016-06-09,1373637.0
2016-06-10,1348983.0
2016-06-11,1249466.0
2016-06-12,1208216.0
2016-06-13,1321569.0
2016-06-14,1338476.0
2016-06-15,1342706.0
2016-06-16,1347376.0
2016-06-17,1356479.0
2016-06-18,1229976.0
2016-06-19,1170058.0
2016-06-20,1325227.0
2016-06-21,1372206.0
2016-06-22,1358045.0
2016-06-23,1313102.0
2016-06-24,1298369.0
2016-06-25,1234881.0
2016-06-26,1155669.0
2016-06-27,1308871.0
2016-06-28,1272578.0
2016-06-29,1286865.0
2016-06-30,1322685.0
2016-07-01,1298559.0
2016-07-02,1209267.0
2016-07-03,1111293.0
2016-07-04,1336059.0
2016-07-05,1336573.0
2016-07-06,1307593.0
2016-07-07,1341773.0
2016-07-08,1337843.0
2016-07-09,1193470.0
2016-07-10,1107480.0
2016-07-11,1260851.0
2016-07-12,1296688.0
2016-07-13,1311529.0
2016-07-14,1234295.0
2016-07-15,1218314.0
2016-07-16,1106835.0
2016-07-17,1064404.0
2016-07-18,1190214.0
2016-07-19,1250800.0
2016-07-20,1241830.0
2016-07-21,1244419.0
